"DATE.HEURE","NO","NO2","PM10","PM2.5","CO2","TEMP","HUMI","AQI","Year"
"2022-12-31T15:00:00+01:00",6,29,205,74,548,19,58,648,2022
"2022-12-31T12:00:00+01:00",4,25,194,71,509,18,61,609,2022
"2022-12-31T09:00:00+01:00",2,20,202,75,457,18,65,557,2022
"2022-12-31T06:00:00+01:00",24,21,68,23,435,18,67,535,2022
"2022-12-31T05:00:00+01:00",230,42,87,34,476,18,68,576,2022
"2022-12-31T04:00:00+01:00",674,78,64,48,522,18,70,774,2022
"2022-12-31T03:00:00+01:00",14,19,53,21,444,18,68,544,2022
"2022-12-30T22:00:00+01:00",7,28,238,89,531,18,69,631,2022
"2022-12-30T18:00:00+01:00",14,32,264,99,691,18,69,791,2022
"2022-12-30T15:00:00+01:00",17,33,248,91,572,18,64,672,2022
"2022-12-30T12:00:00+01:00",10,35,198,68,537,17,59,637,2022
"2022-12-30T10:00:00+01:00",4,37,142,44,526,17,53,626,2022
"2022-12-30T09:00:00+01:00",4,34,177,60,513,17,54,613,2022
"2022-12-30T05:00:00+01:00",37,32,24,7,449,17,50,549,2022
"2022-12-30T03:00:00+01:00",4,28,52,20,448,18,46,548,2022
"2022-12-30T00:00:00+01:00",8,36,226,82,514,17,50,614,2022
"2022-12-29T22:00:00+01:00",18,45,167,61,548,17,48,648,2022
"2022-12-29T21:00:00+01:00",40,45,298,117,608,18,50,708,2022
"2022-12-29T19:00:00+01:00",35,43,283,106,749,18,49,849,2022
"2022-12-29T17:00:00+01:00",7,41,113,36,651,18,47,751,2022
"2022-12-29T16:00:00+01:00",5,39,79,20,571,18,46,671,2022
"2022-12-29T14:00:00+01:00",6,38,168,58,574,18,50,674,2022
"2022-12-29T12:00:00+01:00",6,38,196,68,547,18,53,647,2022
"2022-12-29T10:00:00+01:00",3,36,267,94,563,18,55,663,2022
"2022-12-28T23:00:00+01:00",1,23,203,75,506,18,62,606,2022
"2022-12-28T20:00:00+01:00",9,34,335,126,638,18,60,738,2022
"2022-12-28T18:00:00+01:00",11,35,265,91,704,18,62,804,2022
"2022-12-28T17:00:00+01:00",6,33,246,85,652,18,60,752,2022
"2022-12-28T13:00:00+01:00",6,33,247,80,546,17,55,646,2022
"2022-12-28T11:00:00+01:00",3,35,169,38,535,17,54,635,2022
"2022-12-28T09:00:00+01:00",6,34,240,84,542,17,58,642,2022
"2022-12-28T04:00:00+01:00",1,17,40,6,435,18,49,535,2022
"2022-12-27T23:00:00+01:00",0,0,210,73,502,17,52,602,2022
"2022-12-27T16:00:00+01:00",0,0,192,59,609,17,44,709,2022
"2022-12-27T15:00:00+01:00",0,0,194,66,582,17,43,682,2022
"2022-12-27T05:00:00+01:00",0,0,96,12,459,16,44,559,2022
"2022-12-26T20:00:00+01:00",0,0,256,86,608,18,45,708,2022
"2022-12-26T16:00:00+01:00",13,41,235,91,598,18,53,698,2022
"2022-12-26T06:00:00+01:00",1,17,24,13,446,17,60,546,2022
