"DATE.HEURE","NO","NO2","PM10","PM2.5","CO2","TEMP","HUMI","AQI","Year"
"2023-01-01T00:00:00+01:00",4,28,269,97,603,19,48,703,2022
"2022-12-31T23:00:00+01:00",4,26,291,105,568,19,49,668,2022
"2022-12-31T22:00:00+01:00",4,26,278,93,562,19,50,662,2022
"2022-12-31T20:00:00+01:00",7,30,305,110,630,19,52,730,2022
"2022-12-31T16:00:00+01:00",8,30,197,71,575,19,56,675,2022
"2022-12-31T10:00:00+01:00",3,21,255,96,475,18,65,575,2022
"2022-12-31T08:00:00+01:00",1,18,188,71,448,18,66,548,2022
"2022-12-31T07:00:00+01:00",1,17,225,77,436,18,67,536,2022
"2022-12-31T02:00:00+01:00",15,22,172,68,454,18,70,554,2022
"2022-12-31T00:00:00+01:00",10,25,258,101,515,18,69,615,2022
"2022-12-30T20:00:00+01:00",16,34,256,95,631,18,68,731,2022
"2022-12-30T17:00:00+01:00",10,28,339,126,670,18,68,770,2022
"2022-12-30T16:00:00+01:00",11,30,238,90,606,18,66,706,2022
"2022-12-30T14:00:00+01:00",19,32,269,93,557,18,61,657,2022
"2022-12-30T11:00:00+01:00",7,40,134,42,531,17,55,631,2022
"2022-12-30T07:00:00+01:00",3,27,214,67,459,17,53,559,2022
"2022-12-30T06:00:00+01:00",9,26,53,16,441,17,51,541,2022
"2022-12-30T04:00:00+01:00",2,26,18,6,440,18,45,540,2022
"2022-12-30T02:00:00+01:00",9,35,176,63,459,17,51,559,2022
"2022-12-29T20:00:00+01:00",42,45,228,84,683,18,48,783,2022
"2022-12-29T15:00:00+01:00",4,35,102,37,537,18,48,637,2022
"2022-12-29T11:00:00+01:00",4,40,140,48,533,17,52,633,2022
"2022-12-29T09:00:00+01:00",3,37,239,88,522,17,56,622,2022
"2022-12-29T07:00:00+01:00",3,24,219,73,463,17,59,563,2022
"2022-12-29T04:00:00+01:00",19,21,43,10,436,18,58,536,2022
"2022-12-29T01:00:00+01:00",1,19,239,85,477,18,63,577,2022
"2022-12-29T00:00:00+01:00",1,24,168,62,512,17,62,612,2022
"2022-12-28T15:00:00+01:00",8,35,205,70,571,17,56,671,2022
"2022-12-28T14:00:00+01:00",4,36,183,61,550,17,54,650,2022
"2022-12-28T08:00:00+01:00",4,28,225,83,505,17,59,605,2022
"2022-12-28T07:00:00+01:00",1,22,179,60,463,17,57,563,2022
"2022-12-28T05:00:00+01:00",1,17,24,0,434,17,53,534,2022
"2022-12-28T01:00:00+01:00",2,25,188,64,472,17,54,572,2022
"2022-12-27T22:00:00+01:00",0,0,179,61,531,17,51,631,2022
"2022-12-27T21:00:00+01:00",0,0,211,76,593,17,50,693,2022
"2022-12-27T20:00:00+01:00",0,0,164,53,654,17,49,754,2022
"2022-12-27T17:00:00+01:00",0,0,283,101,655,17,48,755,2022
"2022-12-27T14:00:00+01:00",0,0,201,67,565,17,44,665,2022
"2022-12-27T07:00:00+01:00",0,0,129,39,474,16,46,574,2022
"2022-12-27T01:00:00+01:00",0,0,233,87,467,17,46,567,2022
"2022-12-26T23:00:00+01:00",0,0,213,78,501,17,42,601,2022
"2022-12-26T21:00:00+01:00",0,0,236,92,573,17,43,673,2022
"2022-12-26T19:00:00+01:00",0,0,276,98,665,18,47,765,2022
"2022-12-26T18:00:00+01:00",0,0,278,105,663,18,50,763,2022
"2022-12-26T17:00:00+01:00",11,38,287,110,615,18,51,715,2022
"2022-12-26T15:00:00+01:00",7,38,223,76,570,18,56,670,2022
"2022-12-26T14:00:00+01:00",7,38,196,71,551,18,57,651,2022
"2022-12-26T10:00:00+01:00",6,34,252,96,545,18,59,645,2022
"2022-12-26T09:00:00+01:00",4,30,322,125,525,18,60,625,2022
"2022-12-26T08:00:00+01:00",3,27,258,97,502,17,61,602,2022
"2022-12-26T03:00:00+01:00",4,19,20,14,440,17,62,540,2022
"2022-12-26T02:00:00+01:00",1,20,114,45,445,17,63,545,2022
"2022-12-25T23:00:00+01:00",4,29,80,32,476,17,61,576,2022
"2022-12-25T21:00:00+01:00",9,32,138,54,508,17,60,608,2022
"2022-12-25T17:00:00+01:00",9,33,175,60,517,18,59,617,2022
"2022-12-25T14:00:00+01:00",8,32,101,34,507,17,59,607,2022
"2022-12-25T13:00:00+01:00",7,30,71,27,508,17,59,608,2022
"2022-12-25T12:00:00+01:00",6,28,61,17,500,17,59,600,2022
"2022-12-25T06:00:00+01:00",1,20,0,7,449,17,62,549,2022
"2022-12-25T05:00:00+01:00",1,20,9,0,441,18,60,541,2022
"2022-12-25T00:00:00+01:00",4,38,95,35,485,17,62,585,2022
"2022-12-24T23:00:00+01:00",4,42,104,35,478,17,61,578,2022
"2022-12-24T21:00:00+01:00",11,47,107,39,510,17,61,610,2022
"2022-12-24T16:00:00+01:00",10,43,96,31,566,17,60,666,2022
"2022-12-24T06:00:00+01:00",1,21,32,22,449,17,57,549,2022
"2022-12-23T21:00:00+01:00",11,41,131,52,580,18,61,680,2022
"2022-12-23T20:00:00+01:00",8,40,120,49,611,18,61,711,2022
